id,Age,Attrition,BusinessTravel,DailyRate,Department,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,Tax,NumCompaniesWorked,OverTime,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,YearsWithCurrManager
5308862931,36,0,Travel_Rarely,1223,Research & Development,3,Technical Degree,3,Female,59,3,Healthcare Representative,3,Divorced,10096,0.048,1,No,3,2,17,2,3,14,8
9668757203,55,0,Travel_Rarely,836,Research & Development,3,Medical,4,Female,33,4,Manager,3,Divorced,14756,0.051,2,Yes,3,3,21,2,3,0,2
6423671923,36,0,Travel_Frequently,1195,Research & Development,3,Life Sciences,2,Male,95,2,Manufacturing Director,2,Single,6499,0.013,1,N,3,3,6,3,3,5,3
5869547784,45,0,Travel_Rarely,1339,Research & Development,3,Life Sciences,2,Male,59,3,Research Scientist,1,Divorced,9724,0.051,2,No,3,3,25,2,3,0,0
1885455321,35,0,Travel_Frequently,664,Research & Development,3,Medical,2,Male,79,1,Research Scientist,1,Married,2194,0.088,4,No,3,4,5,2,2,2,2
4450640101,36,1,Travel_Rarely,318,Research & Development,3,Medical,4,Male,79,1,Research Scientist,3,Married,3388,0.065,0,Y,3,1,2,0,2,0,0
3199818706,59,0,Travel_Frequently,1225,Sales,1,Life Sciences,1,Female,57,2,Sales Executive,3,Single,5473,0.025,7,No,3,4,20,2,2,3,3
5211295722,29,0,Travel_Rarely,1328,Research & Development,3,Life Sciences,3,Male,76,1,Research Scientist,2,Married,2703,0.063,0,No,4,4,6,3,3,4,4
2211447600,31,0,Travel_Rarely,1082,Research & Development,4,Medical,3,Male,87,1,Research Scientist,2,Single,2501,0.086,1,No,3,2,1,4,3,1,0
4723742204,32,0,Travel_Rarely,548,Research & Development,3,Life Sciences,2,Male,66,2,Research Scientist,2,Married,6220,0.064,1,No,3,2,10,3,3,4,9
1756828105,36,0,Travel_Rarely,132,Research & Development,3,Life Sciences,2,Female,55,1,Laboratory Technician,4,Married,3038,0.048,3,No,3,2,5,3,3,0,0
8612380898,31,0,Travel_Rarely,746,Research & Development,4,Life Sciences,3,Female,61,2,Manufacturing Director,4,Single,4424,0.015,1,No,4,4,11,2,3,7,8
7881663715,35,0,Travel_Rarely,776,Sales,4,Marketing,3,Male,32,2,Sales Executive,1,Single,4312,0.027,0,No,3,2,16,2,3,13,8
688120822,45,0,Travel_Rarely,193,Research & Development,4,Other,4,Male,52,3,Research Director,1,Married,13245,0.074,4,Yes,3,2,17,3,4,0,0
9292920499,37,0,Travel_Rarely,397,Research & Development,4,Medical,1,Male,30,3,Research Director,3,Single,13664,0.061,4,No,3,1,16,3,4,2,2
3906075540,46,0,Travel_Rarely,945,Human Resources,2,Medical,2,Male,80,2,Human Resources,2,Divorced,5021,0.041,8,Yes,4,4,16,2,3,2,2
7852708676,30,0,Travel_Rarely,852,Research & Development,1,Life Sciences,4,Male,55,2,Laboratory Technician,4,Married,5126,0.043,1,Y,3,3,10,1,2,8,0
5797297272,35,0,Travel_Rarely,1214,Research & Development,3,Medical,2,Male,30,1,Research Scientist,3,Single,2859,0.069,1,No,3,1,6,3,3,4,4
747732248,55,0,Travel_Rarely,111,Sales,2,Life Sciences,1,Male,70,3,Sales Executive,4,Married,10239,0.072,3,No,3,4,24,4,3,0,0
1823288553,38,0,Non-Travel,573,Research & Development,3,Medical,2,Female,79,2,Research Scientist,4,Divorced,5329,0.028,7,Y,3,4,17,3,3,11,9
77398572,34,0,Travel_Rarely,1153,Research & Development,2,Medical,1,Male,94,2,Manufacturing Director,2,Married,4325,0.09,1,No,3,3,5,2,3,2,3
8888199012,56,0,Travel_Rarely,1400,Research & Development,3,Life Sciences,4,Male,49,3,Manufacturing Director,4,Single,7260,0.069,4,No,3,1,37,3,2,4,2
1443073245,23,0,Travel_Rarely,541,Sales,1,Technical Degree,3,Male,62,1,Sales Representative,1,Divorced,2322,0.048,3,No,3,3,3,3,3,0,0
364393076,51,0,Travel_Rarely,432,Research & Development,4,Life Sciences,4,Male,96,1,Laboratory Technician,4,Married,2075,0.053,3,No,4,2,10,4,3,2,3
6071256577,30,0,Travel_Rarely,288,Research & Development,3,Life Sciences,3,Male,99,2,Healthcare Representative,4,Married,4152,0.045,1,No,3,1,11,3,3,10,8
1520442874,46,1,Travel_Rarely,669,Sales,2,Medical,3,Male,64,3,Sales Executive,4,Single,9619,0.069,1,No,3,4,9,3,3,8,7
7765724959,40,0,Travel_Frequently,530,Research & Development,4,Life Sciences,3,Male,78,4,Healthcare Representative,2,Married,13503,0.028,1,No,4,4,22,3,2,3,11
3093792940,51,0,Travel_Rarely,632,Sales,4,Marketing,3,Male,71,2,Sales Executive,4,Single,5441,0.015,0,Y,4,4,11,2,1,7,0
1347256296,30,0,Travel_Rarely,1334,Sales,2,Medical,3,Female,63,2,Sales Executive,2,Divorced,5209,0.057,1,Y,3,2,11,4,2,8,7
2384188682,46,0,Travel_Frequently,638,Research & Development,3,Medical,3,Male,40,3,Healthcare Representative,1,Married,10673,0.084,2,Yes,3,3,21,5,2,9,5
6435398232,32,0,Travel_Rarely,1093,Sales,4,Medical,2,Male,87,2,Sales Executive,3,Single,5010,0.068,1,No,3,1,12,0,3,8,7
7391380113,54,0,Travel_Rarely,1217,Research & Development,4,Technical Degree,1,Female,60,3,Research Director,3,Married,13549,0.074,9,No,3,1,16,5,1,3,3
3800056712,24,0,Travel_Rarely,1353,Sales,2,Other,1,Female,33,2,Sales Executive,3,Married,4999,0.079,0,No,4,1,4,2,2,2,2
6460890978,28,0,Non-Travel,120,Sales,3,Medical,2,Male,43,2,Sales Executive,3,Married,4221,0.026,1,No,3,2,5,3,4,4,4
7333859908,58,0,Travel_Rarely,682,Sales,4,Medical,4,Male,37,4,Sales Executive,3,Single,13872,0.078,0,No,3,3,38,1,2,10,8
985993731,44,0,Non-Travel,489,Research & Development,3,Medical,2,Male,67,2,Laboratory Technician,2,Married,2042,0.057,4,No,3,3,17,3,4,2,2
9232304236,37,1,Travel_Rarely,807,Human Resources,4,Human Resources,3,Male,63,1,Human Resources,1,Divorced,2073,0.029,4,Yes,4,4,7,3,3,2,2
8173118558,32,0,Travel_Rarely,827,Research & Development,1,Life Sciences,4,Male,71,1,Research Scientist,1,Single,2956,0.042,1,No,3,4,1,2,3,0,0
3610148764,20,1,Travel_Frequently,871,Research & Development,3,Life Sciences,4,Female,66,1,Laboratory Technician,4,Single,2926,0.035,1,Yes,3,2,1,5,3,0,0
6400624147,34,0,Travel_Rarely,665,Research & Development,4,Other,1,Female,41,2,Research Scientist,3,Single,4809,0.067,1,No,3,3,16,3,3,13,10
5252816271,37,0,Non-Travel,1040,Research & Development,2,Life Sciences,3,Male,100,2,Healthcare Representative,4,Divorced,5163,0.067,5,No,3,4,17,2,4,0,0
8763961903,59,0,Non-Travel,1420,Human Resources,4,Human Resources,3,Female,32,5,Manager,4,Married,18844,0.014,9,No,4,4,30,3,3,2,2
3974848797,50,0,Travel_Frequently,1115,Research & Development,3,Life Sciences,1,Female,73,5,Research Director,2,Married,18172,0.028,3,Yes,3,1,28,1,2,3,7
7098554499,25,1,Travel_Rarely,240,Sales,3,Marketing,3,Male,46,2,Sales Executive,3,Single,5744,0.06,1,Yes,3,4,6,1,3,4,3
6252108189,25,0,Travel_Rarely,1280,Research & Development,1,Medical,4,Male,64,1,Research Scientist,4,Married,2889,0.045,1,No,3,3,2,2,3,2,1
4252957982,22,0,Travel_Rarely,534,Research & Development,3,Medical,2,Female,59,1,Laboratory Technician,4,Single,2871,0.011,1,No,3,3,1,5,3,0,0
5432961997,51,0,Travel_Frequently,1456,Research & Development,4,Medical,1,Female,30,3,Healthcare Representative,1,Single,7484,0.012,3,No,4,3,23,1,2,12,8
8679153745,34,1,Travel_Frequently,658,Research & Development,3,Life Sciences,1,Male,66,2,Laboratory Technician,3,Single,6074,0.064,1,Yes,4,4,9,3,3,7,6
9443653699,54,0,Non-Travel,142,Human Resources,3,Human Resources,4,Female,30,4,Manager,4,Single,17328,0.066,2,Yes,3,3,23,3,3,3,4
9024541484,24,0,Travel_Rarely,1127,Research & Development,1,Life Sciences,2,Male,52,1,Laboratory Technician,3,Married,2774,0.088,0,No,3,3,6,2,3,3,2
19143656,34,0,Travel_Rarely,1031,Research & Development,4,Life Sciences,3,Female,45,2,Research Scientist,2,Divorced,4505,0.029,6,No,3,3,12,3,3,0,0
9820029341,37,0,Travel_Rarely,1189,Sales,3,Life Sciences,3,Male,87,3,Sales Executive,4,Single,7428,0.084,2,No,3,1,12,3,3,3,3
3172254445,34,0,Travel_Rarely,1354,Research & Development,3,Medical,3,Female,45,3,Manager,1,Single,11631,0.015,2,No,3,4,14,6,3,10,8
5887838809,36,0,Travel_Frequently,1467,Sales,2,Technical Degree,2,Female,92,3,Sales Executive,4,Married,9738,0.053,0,No,3,3,10,6,3,7,8
5240771278,36,0,Travel_Rarely,922,Research & Development,2,Life Sciences,1,Female,39,1,Laboratory Technician,4,Divorced,2835,0.055,5,No,4,1,7,2,3,0,0
1178866203,43,0,Travel_Frequently,394,Sales,2,Life Sciences,3,Male,92,4,Manager,4,Married,16959,0.022,1,Yes,3,4,25,3,4,12,12
570948304,30,0,Travel_Frequently,1312,Research & Development,3,Life Sciences,1,Male,96,1,Research Scientist,3,Divorced,2613,0.077,1,No,4,3,10,2,2,7,9
6792207632,33,0,Non-Travel,750,Sales,2,Marketing,3,Male,95,2,Sales Executive,2,Married,6146,0.082,0,No,3,1,8,2,4,7,7
4963166895,56,1,Travel_Rarely,441,Research & Development,4,Life Sciences,2,Female,72,1,Research Scientist,2,Married,4963,0.078,9,Yes,3,1,7,2,3,4,3
5908930652,51,0,Travel_Rarely,684,Research & Development,3,Life Sciences,1,Male,51,5,Research Director,3,Single,19537,0.041,7,No,3,3,23,5,3,18,15
2962599087,31,1,Travel_Rarely,249,Sales,4,Life Sciences,2,Male,76,2,Sales Executive,3,Married,6172,0.032,4,Yes,3,2,12,3,2,7,7
8679510300,26,0,Travel_Rarely,841,Research & Development,3,Other,3,Female,46,1,Research Scientist,2,Married,2368,0.07,1,No,3,3,5,3,2,4,3
5132063136,58,1,Travel_Rarely,147,Research & Development,4,Medical,4,Female,94,3,Healthcare Representative,4,Married,10312,0.017,1,No,3,4,40,3,2,10,6
169521591,19,1,Travel_Rarely,528,Sales,1,Marketing,4,Male,50,1,Sales Representative,3,Single,1675,0.049,1,Yes,3,4,0,2,2,0,0
3537967330,22,0,Travel_Rarely,594,Research & Development,1,Technical Degree,3,Male,100,1,Laboratory Technician,4,Married,2523,0.037,0,No,3,3,3,2,3,1,1
8865055448,49,0,Travel_Rarely,470,Research & Development,4,Medical,3,Female,96,2,Manufacturing Director,1,Married,6567,0.078,1,No,3,3,16,2,2,11,11
82602891,43,0,Travel_Frequently,957,Research & Development,3,Medical,2,Female,72,1,Research Scientist,3,Single,4739,0.086,4,No,3,4,18,2,3,2,2
1232942871,50,0,Travel_Frequently,809,Sales,3,Marketing,3,Female,77,3,Sales Executive,4,Single,9208,0.035,4,No,3,4,16,3,3,2,1
6916552700,31,1,Travel_Rarely,542,Sales,3,Life Sciences,2,Female,71,2,Sales Executive,3,Married,4559,0.05,3,Yes,3,3,4,2,3,2,2
8082943920,41,0,Travel_Rarely,802,Sales,1,Life Sciences,3,Male,96,3,Sales Executive,3,Divorced,8189,0.08,3,Yes,3,3,12,2,3,7,7
159172713,26,0,Travel_Rarely,1355,Human Resources,1,Life Sciences,3,Female,61,1,Human Resources,3,Married,2942,0.07,1,No,4,4,8,3,3,7,7
9959193276,36,0,Travel_Rarely,216,Research & Development,2,Medical,2,Male,84,2,Manufacturing Director,2,Divorced,4941,0.058,6,No,4,4,7,0,3,2,1
659679728,51,1,Travel_Frequently,1150,Research & Development,4,Life Sciences,1,Male,53,3,Manufacturing Director,4,Single,10650,0.047,2,No,3,4,18,2,3,2,3
9751483034,39,0,Travel_Rarely,1329,Sales,4,Life Sciences,4,Female,47,2,Sales Executive,3,Married,5902,0.039,4,No,3,3,17,1,4,11,9
7780996026,25,0,Travel_Rarely,959,Sales,3,Life Sciences,1,Male,41,2,Sales Executive,3,Married,8639,0.08,2,No,3,4,6,3,3,2,2
5278616687,30,0,Travel_Rarely,1240,Human Resources,3,Human Resources,3,Male,48,2,Human Resources,4,Married,6347,0.078,0,Yes,3,4,12,2,1,9,7
1043486844,32,1,Travel_Rarely,1033,Research & Development,3,Medical,1,Female,41,1,Laboratory Technician,1,Single,4200,0.081,7,No,4,1,10,2,4,4,4
3872303589,45,0,Travel_Rarely,1316,Research & Development,3,Medical,3,Male,83,1,Research Scientist,4,Single,3452,0.083,5,No,3,2,9,2,2,5,3
6343380884,38,0,Travel_Rarely,364,Research & Development,5,Technical Degree,4,Female,32,2,Research Scientist,3,Single,4317,0.031,3,Yes,4,2,19,2,3,2,2
8828845961,30,0,Travel_Rarely,438,Research & Development,3,Life Sciences,1,Female,75,1,Research Scientist,3,Single,2632,0.069,1,No,3,3,5,4,2,4,4
7670968060,32,0,Travel_Frequently,689,Sales,2,Medical,4,Male,35,2,Sales Executive,4,Divorced,4668,0.056,0,No,3,4,9,2,4,7,7
4383419038,30,0,Travel_Rarely,201,Research & Development,3,Technical Degree,4,Female,84,1,Research Scientist,1,Divorced,3204,0.043,5,No,3,4,8,3,3,2,2
5680652919,30,0,Travel_Rarely,1427,Research & Development,1,Medical,2,Male,35,1,Laboratory Technician,4,Single,2720,0.08,0,No,3,4,6,3,3,3,2
8685843375,41,0,Travel_Frequently,857,Research & Development,3,Life Sciences,4,Male,91,4,Manager,1,Divorced,17181,0.083,4,No,3,2,21,2,2,6,7
4538305278,41,0,Travel_Rarely,933,Research & Development,4,Life Sciences,3,Male,94,1,Laboratory Technician,1,Married,2238,0.071,2,No,4,4,7,2,3,0,4
1872627080,19,0,Travel_Rarely,1181,Research & Development,1,Medical,2,Female,79,1,Laboratory Technician,2,Single,1483,0.046,1,No,3,4,1,3,3,0,0
1855476630,40,0,Travel_Frequently,1395,Research & Development,3,Medical,2,Female,54,2,Research Scientist,2,Divorced,5605,0.05,1,No,3,1,20,2,3,7,13
4245306386,35,0,Travel_Rarely,662,Sales,5,Marketing,3,Male,94,3,Sales Executive,2,Married,7295,0.054,1,No,3,1,10,3,3,8,6
6284560028,53,0,Travel_Rarely,1436,Sales,2,Marketing,2,Male,34,2,Sales Representative,3,Married,2306,0.084,2,Yes,4,4,13,3,1,7,5
8514277863,45,0,Travel_Rarely,194,Research & Development,3,Life Sciences,2,Male,60,2,Laboratory Technician,2,Divorced,2348,0.077,8,No,3,3,20,2,1,9,15
5635538185,32,0,Travel_Frequently,967,Sales,3,Marketing,2,Female,43,3,Sales Executive,4,Single,8998,0.015,1,No,3,4,9,2,3,8,7
6272560443,29,0,Non-Travel,1496,Research & Development,1,Technical Degree,4,Male,41,2,Manufacturing Director,3,Married,4319,0.09,1,No,3,1,10,1,3,7,9
3348484960,51,0,Travel_Rarely,1169,Research & Development,4,Medical,2,Male,34,2,Manufacturing Director,3,Married,6132,0.047,2,No,3,3,10,2,3,0,0
5383201122,58,0,Travel_Rarely,1145,Research & Development,3,Medical,2,Female,75,1,Research Scientist,2,Married,3346,0.05,4,Yes,4,2,9,3,2,0,0
1356725570,40,0,Travel_Rarely,630,,4,Marketing,3,Male,67,3,Sales Executive,4,Married,10855,0.011,7,No,3,1,15,2,2,11,11
6267695891,34,0,Travel_Frequently,303,,4,Marketing,3,Female,75,1,Sales Representative,3,Married,2231,0.07,6,No,3,4,6,3,3,3,2
6985201482,22,0,Travel_Rarely,1256,,1,Medical,3,Male,80,1,Research Scientist,4,Married,2323,0.069,1,No,4,1,2,6,3,2,2
7027192,27,0,Non-Travel,691,,3,Medical,4,Male,57,1,Research Scientist,2,Divorced,2024,0.067,6,No,3,4,6,1,1,2,2
6691413237,28,0,Travel_Rarely,440,,3,Medical,3,Male,42,1,Research Scientist,4,Married,2713,0.039,1,No,3,3,5,2,1,2,2
538882166,57,0,Travel_Rarely,334,,2,Life Sciences,3,Male,83,3,Healthcare Representative,4,Divorced,9439,0.03,3,Yes,3,2,12,2,1,3,4
6106171963,27,0,Non-Travel,1450,Research & Development,3,Medical,3,Male,79,1,Research Scientist,3,Divorced,2566,0.062,1,Yes,3,4,1,2,2,1,1
8415873077,50,0,Travel_Rarely,1452,Research & Development,3,Life Sciences,3,Female,53,5,Manager,2,Single,19926,0.018,3,No,3,2,21,5,3,4,4
8389546248,41,0,Travel_Rarely,465,Research & Development,3,Life Sciences,1,Male,56,1,Research Scientist,3,Divorced,2451,0.043,4,No,3,1,13,2,3,8,8
6879172016,30,0,Travel_Rarely,1339,Sales,3,Life Sciences,2,Female,41,3,Sales Executive,4,Married,9419,0.038,2,No,3,3,12,2,3,9,4
8878706264,38,0,Travel_Rarely,702,Sales,4,Life Sciences,1,Female,59,2,Sales Executive,4,Single,8686,0.048,4,No,4,3,12,2,4,3,7
